Gene	Node	Coord	Strand	Type	Psi_A	Psi_B	DeltaPsi	Probability
1	ENSMUSG00000006498	1	10:79854427-79854628	+	TS	0.738	0.902	0.164	0.721
2	ENSMUSG00000006498	2	10:79854629-79854664	+	TS	0.845	0.649	-0.196	0.686
3	ENSMUSG00000006498	3	10:79854665-79854667	+	TS	0.645	0.394	-0.251	0.842
4	ENSMUSG00000006498	4	10:79854668-79854721	+	TS	0.29	0.331	0.041	0.722
5	ENSMUSG00000006498	5	10:79855038-79855163	+	AF	0.692	0.736	0.044	0.655
6	ENSMUSG00000006498	6	10:79856339-79856503	+	AA	0.703	0.921	0.218	0.946
7	ENSMUSG00000006498	7	10:79856504-79856534	+	CE	0.245	0.77	0.525	0.87
8	ENSMUSG00000006498	8	10:79858752-79858824	+	CE	0.477	0.242	-0.235	0.882
9	ENSMUSG00000006498	14	10:79859352-79859522	+	CE	0.31	0.531	0.221	0.569
10	ENSMUSG00000006498	15	10:79859602-79859712	+	CE	0.513	0.278	-0.235	0.563
11	ENSMUSG00000006498	16	10:79859781-79859955	+	CE	0.171	0.467	0.296	0.746
12	ENSMUSG00000006498	19	10:79860824-79860969	+	CE	0.375	0.669	0.294	0.688
13	ENSMUSG00000006498	23	10:79862048-79862448	+	RI	0.04	0.423	0.383	0.881
14	ENSMUSG00000006498	24	10:79862449-79862541	+	CE	0.591	0.815	0.224	0.849
15	ENSMUSG00000006498	25	10:79862653-79862869	+	CE	0.873	0.343	-0.53	0.839
16	ENSMUSG00000006498	28	10:79863145-79864359	+	TE	0.086	0.082	-0.00399999999999999	0.763
17	ENSMUSG00000006498	29	10:79864360-79864432	+	TE	0.726	0.512	-0.214	0.547
18	ENSMUSG00000006498	30	10:79864433-79864771	+	TE	0.319	0.734	0.415	0.923
